Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Solar Panel Mounting Bracket","Adjustable Solar Panel Wall/Roof Mount","Heavy-duty tilt-adjustable wall/roof mounting arm for the solar panel, allowing 360° rotation and 90° tilt.","mechanical","structural",1,20.00,20.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxHXlxUDxBd5p4Pw7sXma3tr0DJS1gDhE7rxDIMjwOFX5UmpiwE0c7b63y9uRfBFxWZqSPYA8bxhVsH3aGoE22O8EsRFFu7yygpRh6clXwEWkgSGmB5qe40pHEkviQaTlkSlduqSGcmEK7IrCLAWwYZdqmkpYmOyvoUzUe6JYNb8m4tNkC8ikoqcz8fkoIdrw8oGgpG8dMgBwLSBxHS6VjdCpgSIjQK0xjgvzZVUIpxSt4jRpqYLYgVwSdhp5v7XPV1kTF3e4AqOlFNdhZq5sFhdkWXY0iXqfp5ShoorQc1MupzJdO4hFOzfI1ARPBKptZhv3HhigJgAHerqC7T9a1JSORbeQz3yrkA35UbZNbyexMsTbWbdXbompGidXDuEKxQ5tqU8SX218vbJk7WOahAzoWCJPsND7GS72dLazcDJMPYsRdb9mMxI2Q8gfvW4RDMp6inl9L4L5LsKy8tZwx56oZXOJqkMqE1lMx93WNrURjJwDlqc9TcaMyjoebCMKohbjHeUus0EMdkdAQXow8XLcwtWUV9f8EzRtWV6RwFteooWaWX7t6tbdIqB1MliebA3QdFxnFYgIvI4INsae0ViwYALenm0Vau9esWenV6aLrDzInqpKSNQjOsCRG9l9qpV6HcCsaBQtx939OsB4KlS3"
"Solar Panel Extension Cable","3m UV-Resistant DC Extension Cable","3m UV-resistant, double-insulated cable with 5.5x2.1mm male DC barrel connector for solar panel.","mechanical","misc",1,10.00,10.00,"https://www.amazon.com/s?k=3m+uv+resistant+dc+cable+5.5x2.1mm"
"M3 PCB Mounting Screws","M3x6mm Phillips Head Screws","Screws for mounting the PCB and other internal components to 3D-printed parts.","mechanical","misc",10,0.10,1.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxR1m64YeugrXRXe9HisYVtou6iC2Kk3xAOMlepM9UNlxv8bj8VTt3waS2daRwQGJ7NAvrkr3jbqenqfXEQLFEynK4FrFFnYrZKcQMTTLEGqNVippJiD4B1ATYQKn35NKeXDKqcS47KNsrtIFIW2zigBwdMtnUyrQ5k93FykuLVvuxciH9l7TQMuniGBp3lOBXzI5BUqWNvODrojUIafD5817GydGjvpeHrETNwonZhsM2VuWP5rZc6o9WuIYBXfUEktUPBlsMsdOaNURZXHKhdQG0WWrXh5ojryBvB5SNXB4zs2BgY64aKxmzm2Ot0UAtHYqcyf39lFSOLIf76nrIs7nKnSXF44jlcxeFrh7tyvK33aESU7SHzmhsD8u06fB8K8PPAPAAZkaXUcnFHT0yCcUu897vvpuZ4r44x0LigeHD8qtXnAQBNiUcCgE0HhKAbLZvEvPeJhItDY5ZWEL4Sw3gW031uLTRsw5qLEIzJLnqfYD5aweCVHzW73dcY2IkZYCSHWZDqSYK6itP663xAyZXroIJxgZqxVJL9cx0BlNk6mUS4IKygruknODEFJupNx2CHVZttaCn7esI5GXLH5jLeapvQ0svGxQlUoDD6KWEnCeB4iAf9QV7BqI6ezzTsOj9MZkg53jTBy9HMDGCWcT"
"M4 Enclosure Screws","M4x12mm Pan Head Machine Screws","Screws for securing the enclosure lid and other external components.","mechanical","misc",6,0.15,0.90,"https://www.amazon.com/dp/B07M6RT1JT?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Adhesive Weather Seal","EPDM Rubber Foam Weather Strip","Self-adhesive weather stripping to enhance IP65 rating around seams and openings.","mechanical","misc",1,6.00,6.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxRQniz0GzstFYec7uyfGRbkaT3MAiEqG7H69YsVh6c4TepTLFc8NzwLhq8P4y7I7uh0YTotxoSJJrjHlHTnTsk3kCaKFYBQp0vF9zuLoYs07oGNFbAkpG0MecPPSPdj9Enjdqxtj1Nddvs4xm0sMR3VsI283qm2ZBSgNoa91JVOxYoHJdjAs0zIJObT83KK0ylYvUiK6B9LTQbcok8eSjU1ieyQYgUocftjxv19cyk8RgZlQZ1PCLk05m4W8GYNQIt8Zeq6fS24xhgsKL0WhsSWk0XQB8FetTNReB0FL2YtBdxRs3TJhdeICksEegPAWsAxqCJvQjw1iubxZjQIxBfCJgNz0RcNjhDxr6ZzHy7XhijUi0RiGHL0wtipOzDWrxxAdx70dkF3TZAOtZSCJUKNZKfIZFbraqsomV8pCL4ehmplRC3JOg6ww6LbZb7HI007S3siyT6rM59KYJ4mtywSkSXkPerRp9wTrYm8yKKUnETul1BEwkpwGh5pygXL7ITVcbCrWQW7yLvuX2ezmLQcIO0SZkrvPUexin6FQqv6zfRPyZrukQNiIxkmGHAIg2K3AKo6oMNmwrAbss1V4DcIEysqn9hU71l6dMjgALO5ysXqtUSttFHA8VnwZFcTxoGC6Kci3oZcO828qVYSPDbib"
"Main Controller Mount","","Standoff bracket sized to the Main Controller's mounting hole pattern. M2.5 holes for board fasteners; vented underside for airflow.","mechanical","3d_printed",1,2.00,2.00,""
"LoRa Transceiver Module Mount","","Adapter plate for the LoRa Transceiver Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"GPS Module Mount","","Adapter plate for the GPS Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Rainfall Sensor Mount","","Form-fitting cradle for the Rainfall Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Mini GSM/4G Antenna Mount","","Adapter plate for the Mini GSM/4G Antenna that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Mini LoRa Antenna Mount","","Adapter plate for the Mini LoRa Antenna that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Mini GPS Antenna Mount","","Adapter plate for the Mini GPS Antenna that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
